Proposal_Number,Grant_Number,Field_of_Science,Field_of_Science_Division,Field_of_Science_Directorate,Project_Type,Transaction_Type,Start_Date,End_Date
CHE140046,CHE140046,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,4/1/2015,3/31/2016
DMR140024,DMR140024,Statistics and Probability,Mathematical Sciences,Mathematical and Physical Sciences,Startup,renewal,4/7/2015,4/6/2016
HUA150001,HUA150001,Humanities/Arts,Humanities/Arts,Humanities/Arts,Startup,new,5/4/2015,5/3/2016
DMR110091,DMR110091,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,5/21/2015,6/30/2015
TRA140021,TRA140021,Training,Training,Other,Campus Champions,renewal,6/12/2015,6/11/2016
CHE140072,CHE140072,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Research,renewal,7/1/2015,6/30/2016
ENG150026,ENG150026,Engineering,Engineering,Engineering,Startup,new,7/6/2015,7/5/2016
DMR110091,DMR110091,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Research,renewal,7/10/2015,9/30/2015
ECS140006,ECS140006,Engineering,Engineering,Engineering,Research,renewal,7/20/2015,9/30/2015
CCR150026,CCR150026,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Educational,new,9/4/2015,9/3/2016
DMS150024,DMS150024,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Startup,new,9/4/2015,9/3/2016
ECS140006,ECS140006,Engineering,Engineering,Engineering,Research,renewal,10/1/2015,9/30/2016
DMS150018,DMS150018,Statistics and Probability,Mathematical Sciences,Mathematical and Physical Sciences,Research,new,10/1/2015,9/30/2016
DMR110091,DMR110091,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Research,renewal,10/1/2015,9/30/2016
MPS150007,MPS150007,Mathematical and Physical Sciences,Mathematical and Physical Sciences,Mathematical and Physical Sciences,Startup,new,10/14/2015,10/13/2016
IBN150011,IBN150011,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Startup,new,10/14/2015,10/13/2016
HUM150004,HUM150004,Humanities,Humanities,Humanities/Arts,Startup,new,12/16/2015,12/15/2016
MCB100109,MCB100109,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Research,renewal,1/1/2016,12/31/2016
ENG150034,ENG150034,Engineering,Engineering,Engineering,Research,new,1/1/2016,12/31/2016
CHE140139,CHE140139,Organic and Macromolecular Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,1/1/2016,12/31/2016
MCB130006,MCB130006,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Research,renewal,1/1/2016,12/31/2016
DMR110005,DMR110005,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,renewal,1/1/2016,12/31/2016
SES150020,SES150020,"Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences",Startup,new,12/17/2015,12/16/2016
CCR150036,CCR150036,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,1/8/2016,1/7/2017
HUM150005,HUM150005,Humanities,Humanities,Humanities/Arts,Startup,new,1/8/2016,1/7/2017
IBN130001,IBN130001,Behavioral and Neural Sciences,Behavioral and Neural Sciences,"Social, Behavioral, and Economic Sciences",Research,renewal,1/13/2016,3/31/2016
SBE160001,SBE160001,"Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences",Startup,new,2/8/2016,2/7/2017
BIO160006,BIO160006,Biological Sciences,Biological Sciences,Biological Sciences,Research,new,2/11/2016,3/31/2016
CDA160002,CDA160002,Cross-Disciplinary Activities,Cross-Disciplinary Activities,Computer and Information Science and Engineering,Startup,new,2/17/2016,2/16/2017
SBE160001,SBE160001,"Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences",Startup,new,2/17/2016,2/16/2017
HUM150004,HUM150004,Humanities,Humanities,Humanities/Arts,Startup,new,2/17/2016,2/16/2017
SES150020,SES150020,"Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences",Startup,new,2/17/2016,2/16/2017
BIO150075,BIO150075,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,2/17/2016,2/16/2017
HUM150003,HUM150003,Humanities,Humanities,Humanities/Arts,Startup,new,2/17/2016,2/16/2017
CDA160003,CDA160003,Educational Infrastructure,Cross-Disciplinary Activities,Computer and Information Science and Engineering,Educational,new,3/2/2016,3/1/2017
BIO160018,BIO160018,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,3/9/2016,3/8/2017
BIO140013,BIO140013,Biological Sciences,Biological Sciences,Biological Sciences,Research,renewal,4/1/2016,3/31/2017
BIO160006,BIO160006,Biological Sciences,Biological Sciences,Biological Sciences,Research,new,4/1/2016,3/31/2017
IBN130001,IBN130001,Behavioral and Neural Sciences,Behavioral and Neural Sciences,"Social, Behavioral, and Economic Sciences",Research,renewal,4/1/2016,3/31/2017
CHE140046,CHE140046,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,4/1/2016,3/31/2017
DBS160002,DBS160002,"Language, Cognition, and Social Behavior",Behavioral and Neural Sciences,"Social, Behavioral, and Economic Sciences",Startup,new,3/29/2016,3/28/2017
MCB160053,MCB160053,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,4/12/2016,4/11/2017
CIE160015,CIE160015,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Startup,new,5/2/2016,5/1/2017
CIE160016,CIE160016,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Startup,new,5/2/2016,5/1/2017
TRA160016,TRA160016,Training,Training,Other,Campus Champions,new,6/10/2016,6/9/2017
CHE140072,CHE140072,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Research,renewal,7/1/2016,6/30/2017
DMS160012,DMS160012,Computational Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Research,new,7/1/2016,6/30/2017
TRA160019,TRA160019,Training,Training,Other,Campus Champions,new,6/21/2016,6/20/2017
CHE160062,CHE160062,Chemistry,Chemistry,Mathematical and Physical Sciences,Campus Champions,new,7/20/2016,7/19/2017
BIO160046,BIO160046,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,7/25/2016,7/24/2017
DMR160124,DMR160124,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,new,7/27/2016,9/30/2016
BIO160050,BIO160050,Biological Sciences,Biological Sciences,Biological Sciences,Discretionary,new,8/11/2016,8/10/2017
CIE160037,CIE160037,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Startup,new,9/6/2016,9/5/2017
MCB160154,MCB160154,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Startup,new,9/13/2016,9/12/2017
DMR160124,DMR160124,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,new,10/1/2016,9/30/2017
ENG170009,ENG170009,Engineering,Engineering,Engineering,Startup,new,5/16/2017,5/15/2018
TRA150034,TRA150034,Training,Training,Other,Campus Champions,new,9/19/2016,9/18/2017
CDA160014,CDA160014,Educational Infrastructure,Cross-Disciplinary Activities,Computer and Information Science and Engineering,Startup,new,9/20/2016,9/19/2017
DMS160026,DMS160026,Statistics and Probability,Mathematical Sciences,Mathematical and Physical Sciences,Startup,new,9/20/2016,9/19/2017
ENG160032,ENG160032,Engineering,Engineering,Engineering,Startup,new,10/10/2016,10/9/2017
ENG160035,ENG160035,Engineering,Engineering,Engineering,Startup,new,10/10/2016,10/9/2017
CHE140139,CHE140139,Organic and Macromolecular Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,10/17/2016,12/31/2016
CCR160026,CCR160026,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,10/19/2016,10/18/2017
DMS160028,DMS160028,Statistics and Probability,Mathematical Sciences,Mathematical and Physical Sciences,Startup,new,10/23/2016,10/22/2017
DBS160005,DBS160005,"Language, Cognition, and Social Behavior",Behavioral and Neural Sciences,"Social, Behavioral, and Economic Sciences",Educational,new,10/25/2016,10/24/2017
MCB160199,MCB160199,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,11/21/2016,11/20/2017
DMR110005,DMR110005,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,renewal,1/1/2017,12/31/2017
CHE140139,CHE140139,Organic and Macromolecular Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,1/1/2017,12/31/2017
BIO160083,BIO160083,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,12/16/2016,12/15/2017
DMR110091,DMR110091,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Research,renewal,1/1/2017,12/31/2017
ENG150034,ENG150034,Engineering,Engineering,Engineering,Research,renewal,1/1/2017,12/31/2017
ASC160085,ASC160085,"Distributed and Parallel Processing, Vectorization",Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,1/24/2017,1/23/2018
MCB170025,MCB170025,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,1/30/2017,1/29/2018
CHE170007,CHE170007,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,1/30/2017,1/29/2018
ECS140006,ECS140006,Mathematical and Physical Sciences,Mathematical and Physical Sciences,Mathematical and Physical Sciences,Research,renewal,2/2/2017,3/31/2017
PHY170010,PHY170010,Physics,Physics,Mathematical and Physical Sciences,Startup,new,3/1/2017,2/28/2018
DBS160002,DBS160002,"Language, Cognition, and Social Behavior",Behavioral and Neural Sciences,"Social, Behavioral, and Economic Sciences",Startup,renewal,3/29/2017,3/28/2018
BIO160006,BIO160006,Biological Sciences,Biological Sciences,Biological Sciences,Research,renewal,4/1/2017,3/31/2018
BIO170009,BIO170009,Biological Sciences,Biological Sciences,Biological Sciences,Research,new,4/1/2017,3/31/2018
ECS140006,ECS140006,Mathematical and Physical Sciences,Mathematical and Physical Sciences,Mathematical and Physical Sciences,Research,renewal,4/1/2017,3/31/2018
ENG170006,ENG170006,Engineering,Engineering,Engineering,Startup,new,4/3/2017,4/2/2018
BIO170037,BIO170037,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,5/22/2017,5/21/2018
ASC170024,ASC170024,"Visualization, Graphics, and Image Processing",Advanced Scientific Computing,Computer and Information Science and Engineering,Research,new,7/1/2017,6/30/2018
BIO140013,BIO140013,Biological Sciences,Biological Sciences,Biological Sciences,Research,renewal,7/1/2017,6/30/2018
CHE140072,CHE140072,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,renewal,7/1/2017,6/30/2018
IBN130001,IBN130001,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Research,renewal,7/1/2017,6/30/2018
TRA160019,TRA160019,Biophysics,Molecular Biosciences,Biological Sciences,Campus Champions,renewal,6/21/2017,6/20/2018
TRA160019,TRA160019,Biophysics,Molecular Biosciences,Biological Sciences,Campus Champions,renewal,6/20/2017,6/19/2018
BCS170012,BCS170012,Bioengineering Aiding the Disabled,Biological and Critical Systems,Engineering,Startup,new,7/17/2017,7/16/2018
BIO170056,BIO170056,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,7/17/2017,7/16/2018
IBN170011,IBN170011,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Research,new,7/24/2017,9/30/2017
MCB170099,MCB170099,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,8/4/2017,8/3/2018
DMR170086,DMR170086,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,Startup,new,8/28/2017,8/27/2018
HUM150003,HUM150003,Humanities,Humanities,Humanities/Arts,Startup,renewal,8/28/2017,8/27/2018
IBN170011,IBN170011,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Research,new,10/1/2017,9/30/2018
ART170002,ART170002,Arts,Arts,Humanities/Arts,Startup,new,10/9/2017,10/8/2018
BIO170088,BIO170088,Biological Sciences,Biological Sciences,Biological Sciences,Research,new,10/16/2017,12/31/2017
DMS170029,DMS170029,Computational Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Startup,new,11/2/2017,11/1/2018
IBN170021,IBN170021,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Startup,new,11/21/2017,11/20/2018
DMR110005,DMR110005,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,renewal,1/1/2018,12/31/2018
ENG150034,ENG150034,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Research,renewal,1/1/2018,12/31/2018
MCB180004,MCB180004,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Research,new,1/9/2018,3/31/2018
CIE180002,CIE180002,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Educational,new,1/10/2018,1/9/2019
MCB160199,MCB160199,Biophysics,Molecular Biosciences,Biological Sciences,Startup,renewal,1/16/2018,1/15/2019
BIO180015,BIO180015,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,2/19/2018,2/18/2019
MCB180030,MCB180030,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,2/19/2018,2/18/2019
DMR110091,DMR110091,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Research,renewal,4/1/2018,3/31/2019
CHE140139,CHE140139,Organic and Macromolecular Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,4/1/2018,3/31/2019
BIO160006,BIO160006,Biological Sciences,Biological Sciences,Biological Sciences,Research,renewal,4/1/2018,3/31/2019
MCB180037,MCB180037,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Research,new,4/3/2018,6/30/2018
DMR160124,DMR160124,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,renewal,5/7/2018,6/30/2018
HUM180001,HUM180001,Humanities,Humanities,Humanities/Arts,Startup,new,5/12/2018,6/30/2019
BIO140013,BIO140013,Biological Sciences,Biological Sciences,Biological Sciences,Research,renewal,7/1/2018,6/30/2019
BCS180008,BCS180008,Bioengineering Aiding the Disabled,Biological and Critical Systems,Engineering,Research,new,7/1/2018,6/30/2019
MCB100109,MCB100109,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Research,renewal,7/1/2018,6/30/2019
DMR160124,DMR160124,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,renewal,7/1/2018,6/30/2019
MCB180037,MCB180037,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Research,new,7/1/2018,6/30/2019
CHE140072,CHE140072,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Research,renewal,7/1/2018,6/30/2019
CTS180033,CTS180033,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Startup,new,6/28/2018,6/27/2019
CHE090098,CHE090098,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,7/19/2018,9/30/2018
CTS180043,CTS180043,Thermal Systems,"Chemical, Thermal Systems",Engineering,Research,new,8/14/2018,9/30/2018
ASC180050,ASC180050,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,new,8/29/2018,8/28/2019
SBE180005,SBE180005,"Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences",Research,new,10/1/2018,9/30/2019
CTS180043,CTS180043,Thermal Systems,"Chemical, Thermal Systems",Engineering,Research,new,10/1/2018,9/30/2019
IBN130001,IBN130001,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Research,renewal,10/1/2018,9/30/2019
ASC180061,ASC180061,Software Development,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,10/22/2018,10/21/2019
SBE180006,SBE180006,"Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences",Research,new,10/24/2018,12/31/2018
DDM180007,DDM180007,Operations Research and Production Systems,Design and Manufacturing Systems,Engineering,Startup,new,10/24/2018,10/23/2019
SBE180006,SBE180006,"Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences",Research,new,12/13/2018,12/31/2018
DMS160012,DMS160012,Knowledge Models and Cognitive Systems,"Information, Robotics, and Intelligent Systems",Computer and Information Science and Engineering,Research,renewal,1/1/2019,12/31/2019
DMR110005,DMR110005,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,renewal,1/1/2019,12/31/2019
ENG150034,ENG150034,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,1/1/2019,12/31/2019
SBE180006,SBE180006,"Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences",Research,new,1/1/2019,12/31/2019
ASC170024,ASC170024,Algorithm Development,Advanced Scientific Computing,Computer and Information Science and Engineering,Research,renewal,1/1/2019,12/31/2019
CTS190036,CTS190036,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,6/20/2019,9/30/2019
HUA170001,HUA170001,Humanities/Arts,Humanities/Arts,Humanities/Arts,Startup,new,3/14/2017,3/13/2018
CCR160029,CCR160029,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,10/24/2016,10/23/2017
CCR170009,CCR170009,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,3/6/2017,3/5/2018
CCR170009,CCR170009,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,renewal,5/18/2018,5/17/2019
CTS180055,CTS180055,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,10/1/2018,9/30/2019
BCS180026,BCS180026,Biological and Critical Systems,Biological and Critical Systems,Engineering,Startup,new,11/8/2018,11/7/2019
MCB040002,MCB050030N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,4/1/2005,3/31/2006
MCB040002,MCB050031N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,4/1/2005,3/31/2006
MCB040002,MCB050030N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,renewal,10/1/2006,9/30/2007
MCB040002,MCB050031N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,renewal,10/1/2006,9/30/2007
IBN080003,IBN080003N,Integrative Biology and Neuroscience,Integrative Biology and Neuroscience,Biological Sciences,,new,11/28/2007,11/30/2008
MCB040002,MCB050030N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,renewal,4/1/2008,3/31/2009
MCB040002,MCB050030N,Biophysics,Molecular Biosciences,Biological Sciences,TRAC,renewal,4/1/2009,3/31/2010
MCB090157,MCB090157,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,7/10/2009,7/10/2010
MCB100002,MCB100002,Cell Biology,Molecular Biosciences,Biological Sciences,Startup,new,10/29/2009,10/29/2010
MCB100069,MCB100069,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,2/2/2010,2/2/2011
MCB040002,MCB050030N,Biophysics,Molecular Biosciences,Biological Sciences,TRAC,renewal,4/1/2010,3/31/2011
MCB110024,MCB110024,Cell Biology,Molecular Biosciences,Biological Sciences,TRAC,new,1/1/2011,12/31/2011
MCB100069,MCB100069,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,renewal,2/3/2011,2/3/2012
MCB040002,MCB050030N,Biophysics,Molecular Biosciences,Biological Sciences,TRAC,renewal,4/1/2011,3/31/2012
MCB110024,MCB110024,Cell Biology,Molecular Biosciences,Biological Sciences,XRAC,renewal,1/1/2012,12/31/2012
MCB040002,MCB050030N,Biophysics,Molecular Biosciences,Biological Sciences,XRAC,renewal,4/1/2012,3/31/2013
MCB120172,MCB120172,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,8/4/2012,8/3/2013
MCB120182,MCB120182,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,8/29/2012,8/28/2013
MCB120205,MCB120205,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,10/19/2012,10/18/2013
MCB110024,MCB110024,Cell Biology,Molecular Biosciences,Biological Sciences,XRAC,renewal,1/1/2013,12/31/2013
MCB130051,MCB130051,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,XRAC,new,4/1/2013,3/31/2014
IBN130015,IBN130015,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Startup,new,5/16/2013,5/15/2014
MCB040002,MCB050030N,Biophysics,Molecular Biosciences,Biological Sciences,XRAC,renewal,7/1/2013,6/30/2014
SES130023,SES130023,"Methodology, Measurement, and Statistics",Social and Economic Science,"Social, Behavioral, and Economic Sciences",Startup,new,7/11/2013,7/10/2014
IBN130025,IBN130025,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Startup,new,8/1/2013,7/31/2014
MCB130218,MCB130218,Cell Biology,Molecular Biosciences,Biological Sciences,Startup,new,8/24/2013,8/23/2014
MCB120205,MCB120205,Biophysics,Molecular Biosciences,Biological Sciences,Startup,renewal,10/19/2013,10/18/2014
MCB110024,MCB110024,Cell Biology,Molecular Biosciences,Biological Sciences,XRAC,renewal,1/1/2014,12/31/2014
IBN130025,IBN130025,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Startup,renewal,9/23/2014,9/22/2015
MCB140262,MCB140262,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,11/13/2014,11/12/2015
MCB040002,MCB050030N,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Research,renewal,1/1/2015,12/31/2015
MCB110024,MCB110024,Cell Biology,Molecular Biosciences,Biological Sciences,Research,renewal,1/1/2015,12/31/2015
MCB150002,MCB150002,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,1/12/2015,1/11/2016
MCB110024,MCB110024,Cell Biology,Molecular Biosciences,Biological Sciences,Research,renewal,1/1/2016,12/31/2016
MCB160026,MCB160026,Cell Biology,Molecular Biosciences,Biological Sciences,Startup,new,2/17/2016,2/16/2017
IBN160002,IBN160002,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Startup,new,2/17/2016,2/16/2017
MCB040002,MCB050030N,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Research,renewal,4/1/2016,3/31/2017
ASC160020,ASC160020,"Visualization, Graphics, and Image Processing",Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,3/27/2016,3/26/2017
MCB040002,MCB050030N,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Research,renewal,7/1/2017,6/30/2018
MCB160026,MCB160026,Biological Sciences,Biological Sciences,Biological Sciences,Startup,renewal,7/26/2017,7/25/2018
MCB170102,MCB170102,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,8/21/2017,8/20/2018
ASC180053,ASC180053,Algorithm Development,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,9/17/2018,9/16/2019
MCB080113,MCB080121T,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,6/24/2008,6/30/2009
CHE080096,CHE090010,Chemistry,Chemistry,Mathematical and Physical Sciences,DAC-TG,new,10/3/2008,10/3/2009
CHE090054,CHE090054,Chemistry,Chemistry,Mathematical and Physical Sciences,TRAC,renewal,4/1/2009,3/31/2010
DMR090094,DMR090094,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,Startup,new,4/22/2009,4/22/2010
DMR090106,DMR090106,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,Startup,new,6/2/2009,6/2/2010
CHE090138,CHE090138,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,9/18/2009,9/18/2010
DMR100006,DMR100006,Materials Research,Materials Research,Mathematical and Physical Sciences,TRAC,new,1/1/2010,12/31/2010
CHE090054,CHE090054,Chemistry,Chemistry,Mathematical and Physical Sciences,TRAC,renewal,4/1/2010,3/31/2011
CCR100017,CCR100017,Computer and Computation Theory,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,4/9/2010,4/9/2011
CHE090054,CHE090054,Chemistry,Chemistry,Mathematical and Physical Sciences,TRAC,renewal,4/1/2011,3/31/2012
CTS060048,CTS060032N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,5/31/2006,5/31/2007
CTS060048,CTS060032N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,renewal,11/6/2007,11/1/2008
DMR080019,DMR080019N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,12/21/2007,12/31/2008
CTS090003,CTS090033,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Startup,new,10/11/2008,10/11/2009
BCS110009,BCS110009,Environmental and Ocean Systems,Biological and Critical Systems,Engineering,Startup,new,1/12/2011,1/12/2012
MCB120075,MCB120075,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Startup,new,3/31/2012,3/31/2013
CTS120046,CTS120046,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,8/24/2012,8/23/2013
CTS130018,CTS130018,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,XRAC,new,4/1/2013,3/31/2014
CTS140024,CTS140024,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,2/1/2014,1/31/2015
CCR140039,CCR140039,Computer and Computation Theory,Computer and Computation Research,Computer and Information Science and Engineering,Campus Champions,new,5/29/2014,5/28/2015
CCR140059,CCR140059,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,9/10/2014,9/9/2015
CTS140060,CTS140060,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,9/30/2014,9/29/2015
DMS140054,DMS140054,Computational Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Educational,new,12/2/2014,12/1/2015
CIE140014,CIE140014,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Startup,new,1/8/2015,1/7/2016
CIE150005,CIE150005,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Startup,new,2/5/2015,2/4/2016
BIO150070,BIO150070,Biological Sciences,Biological Sciences,Biological Sciences,Educational,new,2/1/2016,1/31/2017
DMS150008,DMS150008,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Startup,new,3/24/2015,3/23/2016
CCR140039,CCR140039,Algorithm Development,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,6/4/2015,6/3/2016
BIO150061,BIO150061,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,12/16/2015,12/15/2016
BIO150061,BIO150061,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,2/17/2016,2/16/2017
OCE160002,OCE160002,Ocean Sciences,Ocean Sciences,Geosciences,Research,new,4/1/2016,3/31/2017
CCR140039,CCR140039,Algorithm Development,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,7/12/2016,7/11/2017
CTS160070,CTS160070,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,12/16/2016,12/15/2017
BIO150070,BIO150070,Biological Sciences,Biological Sciences,Biological Sciences,Educational,renewal,12/20/2016,12/19/2017
CTS170006,CTS170006,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Research,new,4/1/2017,3/31/2018
BIO170048,BIO170048,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,6/20/2017,6/19/2018
CCR140039,CCR140039,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Campus Champions,renewal,7/13/2017,7/12/2018
